Object,frame_0,frame_1,frame_2,frame_3,frame_4,frame_5,frame_6,frame_7,frame_8,frame_9,frame_10,frame_11,frame_12,frame_13
+bench,1,1,1,0,1,1,1,1,1,1,0,0,1,1
+bicycle,1,1,1,1,1,1,1,1,1,1,1,1,1,1
+car,1,1,1,1,1,1,1,1,1,1,1,1,1,1
+curb,1,1,1,1,1,1,1,1,1,1,1,1,1,1
+dog,1,1,0,1,1,0,1,1,1,1,1,1,0,1
+motorcycle,1,1,1,0,1,0,1,1,1,1,0,1,1,1
+road shoulder,0,1,1,0,0,0,1,0,0,1,1,1,0,1
-car,1,1,1,1,1,1,1,1,1,1,1,1,1,0
-trash on roads,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-uncontrolled crossing,1,1,1,1,1,1,1,1,1,1,1,1,1,1
