Object,Frame-0,Frame-1,Frame-2,Frame-3,Frame-4,Frame-5,Frame-6,Frame-7,Frame-8,Frame-9,Frame-10,Frame-11,Frame-12,Frame-13,Frame-14,Frame-15,Frame-16,Frame-17,Frame-18,Frame-19,Frame-20,Frame-21,Frame-22,Frame-23,Frame-24,Frame-25
+Accent Paving,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1
-Accent Paving,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0
+Barrier Post,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1
-Barrier Post,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0
+Barrier Stump,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0
-Barrier Stump,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1
+Bench,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
-Bench,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1
+Bicycle,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0
-Bicycle,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1
+Bridge,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0
-Bridge,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1
+Building,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
-Building,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
+Bus,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1
-Bus,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0
+Bus Stop,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
-Bus Stop,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1
+Car,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1
-Car,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0
+Chair,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1
-Chair,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0
+Closed Sidewalk,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0
-Closed Sidewalk,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1
+Counter,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0
-Counter,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1
+Crosswalk,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1
-Crosswalk,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0
+Curb,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0
-Curb,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1
+Dog,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0
-Dog,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1
+Driveway(flat),0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0
-Driveway(flat),1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1
+Elevator,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1
-Elevator,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0
+Escalator,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1
-Escalator,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0
+Fence,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1
-Fence,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0
+Fire hydrant,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1
-Fire hydrant,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0
+Flush Door,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0
-Flush Door,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1
+Foldout Sign,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0
-Foldout Sign,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
+Fountain,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0
-Fountain,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1
+Gate,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
-Gate,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
+Guide dog,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0
-Guide dog,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1
+Gutter,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1
-Gutter,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0
+Hose,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1
-Hose,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0
+Lamp Post,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1
-Lamp Post,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0
+Mail box,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1
-Mail box,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0
+Maintenance Vehicle,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0
-Maintenance Vehicle,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1
