Object,Frame-0,Frame-1,Frame-2,Frame-3,Frame-4,Frame-5,Frame-6,Frame-7,Frame-8,Frame-9,Frame-10,Frame-11,Frame-12,Frame-13,Frame-14,Frame-15,Frame-16,Frame-17,Frame-18,Frame-19
Accent Paving,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1
*Accent Paving,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1
Barrier Post,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0
*Barrier Post,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0
Barrier Stump,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1
*Barrier Stump,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1
Bench,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1
*Bench,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1
Bicycle,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1
*Bicycle,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1
Bridge,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
*Bridge,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
Building,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1
*Building,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1
Bus,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
*Bus,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
Bus Stop,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1
*Bus Stop,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1
Car,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1
*Car,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1
Chair,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1
*Chair,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1
Closed Sidewalk,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0
*Closed Sidewalk,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0
Counter,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0
*Counter,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0
Crosswalk,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
*Crosswalk,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
Curb,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1
*Curb,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1
Dog,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1
*Dog,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1
Driveway(flat),0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1
*Driveway(flat),0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1
Elevator,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0
*Elevator,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0
Escalator,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0
*Escalator,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0
Fence,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0
*Fence,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0
Fire hydrant,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1
*Fire hydrant,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1
Flush Door,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
*Flush Door,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
Foldout Sign,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1
*Foldout Sign,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1
Fountain,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0
*Fountain,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0
Gate,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
*Gate,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
Guide dog,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0
*Guide dog,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0
Gutter,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0
*Gutter,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0
Hose,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0
*Hose,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0
Lamp Post,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
*Lamp Post,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
Mail box,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1
*Mail box,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1
Maintenance Vehicle,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0
*Maintenance Vehicle,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0
Motorcycle,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1
*Motorcycle,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1
Parallel Parking Spot,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0
*Parallel Parking Spot,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0
Paratransit vehicle,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1
*Paratransit vehicle,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1
Pedestrian Crossing,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1
*Pedestrian Crossing,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1
Person,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
*Person,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Person with a disability,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1
*Person with a disability,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1
Pillar,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
*Pillar,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
Pole,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0
*Pole,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0
Puddle,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1
*Puddle,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1
Push button,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1
*Push button,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1
Railing,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0
*Railing,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0
Raised Entryway,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0
*Raised Entryway,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0
Retaining Wall,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
*Retaining Wall,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
Road,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1
*Road,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1
Road Divider,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
*Road Divider,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
Road Shoulder,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1
*Road Shoulder,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1
Roadside Parking,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1
*Roadside Parking,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1
Sidewalk,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0
*Sidewalk,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0
Sidewalk pits ,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1
*Sidewalk pits ,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1
Sign,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1
*Sign,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1
Sign Post,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1
*Sign Post,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1
Sloped Driveway,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1
*Sloped Driveway,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1
Slopped Curb,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1
*Slopped Curb,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1
Snow,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0
*Snow,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0
Stairs,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
*Stairs,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
Stop sign,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1
*Stop sign,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1
Street Vendor,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1
*Street Vendor,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1
Table,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0
*Table,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0
Tactile Paving,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0
*Tactile Paving,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0
Traffic Signals,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1
*Traffic Signals,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1
