Object,Frame-0,Frame-1,Frame-2,Frame-3,Frame-4,Frame-5,Frame-6,Frame-7,Frame-8,Frame-9,Frame-10,Frame-11
Accent Paving,0,1,1,1,1,0,1,0,0,1,0,1
*Accent Paving,0,1,1,1,1,0,1,0,0,1,0,1
Barrier Post,1,1,1,0,0,1,1,0,0,1,0,0
*Barrier Post,1,1,1,0,0,1,1,0,0,1,0,0
Barrier Stump,1,0,0,1,1,0,1,0,0,1,1,1
*Barrier Stump,1,0,0,1,1,0,1,0,0,1,1,1
Bench,0,0,1,0,0,0,1,1,0,1,0,1
*Bench,0,0,1,0,0,0,1,1,0,1,0,1
Bicycle,1,1,1,0,0,0,1,0,0,1,1,0
*Bicycle,1,1,1,0,0,0,1,0,0,1,1,0
Bridge,0,1,1,1,1,0,1,0,0,0,1,1
*Bridge,0,1,1,1,1,0,1,0,0,0,1,1
Building,1,0,0,0,0,0,1,1,0,0,1,1
*Building,1,0,0,0,0,0,1,1,0,0,1,1
Bus,1,1,0,0,0,0,1,1,0,0,1,0
*Bus,1,1,0,0,0,0,1,1,0,0,1,0
Bus Stop,0,0,0,1,1,1,1,1,0,0,0,1
*Bus Stop,0,0,0,1,1,1,1,1,0,0,0,1
Car,1,1,1,0,0,1,1,1,0,1,0,0
*Car,1,1,1,0,0,1,1,1,0,1,0,0
Chair,1,1,0,0,0,0,1,0,0,1,1,1
*Chair,1,1,0,0,0,0,1,0,0,1,1,1
Closed Sidewalk,0,1,1,1,1,1,0,0,0,1,0,1
*Closed Sidewalk,0,1,1,1,1,1,0,0,0,1,0,1
Counter,0,1,0,1,0,0,0,1,0,1,0,0
*Counter,0,1,0,1,0,0,0,1,0,1,0,0
Crosswalk,1,1,0,0,0,0,0,0,0,1,1,0
*Crosswalk,1,1,0,0,0,0,0,0,0,1,1,0
Curb,0,0,1,0,1,1,0,1,1,1,1,1
*Curb,0,0,1,0,1,1,0,1,1,1,1,1
Dog,1,1,1,0,0,0,1,1,0,1,1,0
*Dog,1,1,1,0,0,0,1,1,0,1,1,0
Driveway(flat),1,0,1,0,1,1,1,1,0,0,0,0
*Driveway(flat),1,0,1,0,1,1,1,1,0,0,0,0
Elevator,0,0,0,0,0,0,1,1,0,0,1,0
*Elevator,0,0,0,0,0,0,1,1,0,0,1,0
Escalator,0,0,1,1,0,0,1,0,0,1,0,0
*Escalator,0,0,1,1,0,0,1,0,0,1,0,0
Fence,1,1,1,1,1,0,1,1,0,1,1,0
*Fence,1,1,1,1,1,0,1,1,0,1,1,0
Fire hydrant,1,1,0,0,0,0,0,0,0,0,0,0
*Fire hydrant,1,1,0,0,0,0,0,0,0,0,0,0
Flush Door,1,0,1,1,1,1,1,0,0,0,1,0
*Flush Door,1,0,1,1,1,1,1,0,0,0,1,0
Foldout Sign,1,1,0,0,0,1,0,0,0,1,1,1
*Foldout Sign,1,1,0,0,0,1,0,0,0,1,1,1
Fountain,1,0,1,0,1,0,1,1,0,1,1,1
*Fountain,1,0,1,0,1,0,1,1,0,1,1,1
Gate,1,0,1,0,1,1,0,1,0,0,0,1
*Gate,1,0,1,0,1,1,0,1,0,0,0,1
Guide dog,1,0,1,1,0,0,1,0,1,1,1,0
*Guide dog,1,0,1,1,0,0,1,0,1,1,1,0
Gutter,0,0,1,0,0,0,1,0,0,1,1,1
*Gutter,0,0,1,0,0,0,1,0,0,1,1,1
Hose,0,1,0,0,0,1,1,0,0,0,0,1
*Hose,0,1,0,0,0,1,1,0,0,0,0,1
Lamp Post,1,0,0,1,1,0,0,1,0,0,0,1
*Lamp Post,1,0,0,1,1,0,0,1,0,0,0,1
Mail box,0,1,1,1,1,1,0,0,1,0,1,1
*Mail box,0,1,1,1,1,1,0,0,1,0,1,1
Maintenance Vehicle,1,1,0,1,1,0,1,1,1,0,0,0
*Maintenance Vehicle,1,1,0,1,1,0,1,1,1,0,0,0
Motorcycle,0,1,0,0,0,0,0,1,0,0,1,1
*Motorcycle,0,1,0,0,0,0,0,1,0,0,1,1
Parallel Parking Spot,1,1,0,1,1,0,1,1,0,1,1,0
*Parallel Parking Spot,1,1,0,1,1,0,1,1,0,1,1,0
Paratransit vehicle,1,0,1,0,1,1,0,1,1,0,1,1
*Paratransit vehicle,1,0,1,0,1,1,0,1,1,0,1,1
Pedestrian Crossing,1,1,0,0,1,1,0,0,1,1,1,0
*Pedestrian Crossing,1,1,0,0,1,1,0,0,1,1,1,0
Person,0,0,0,1,1,0,1,1,0,1,0,0
