Object,Frame,Presence
Stairs,2,0
Stairs,3,0
Stairs,4,0
Stairs,6,0
Stairs,5,0
Stairs,7,0
Stairs,8,0
Stairs,12,0
Stairs,10,0
Stairs,13,0
Stairs,0,0
Stairs,3,1
Stairs,4,1
Stairs,5,1
Stairs,6,1
Stairs,7,1
Stairs,8,1
Stairs,9,1
Stairs,10,1
Stairs,11,1
Stairs,13,1
Stairs,12,1
Car,8,1
Car,9,1
Car,12,1
Car,13,1
Building,0,0
Building,1,0
Crosswalk,0,0
Crosswalk,1,0
Crosswalk,2,0
Crosswalk,3,0
Crosswalk,4,0
Crosswalk,5,0
Crosswalk,6,0
Crosswalk,7,0
Crosswalk,8,0
Crosswalk,9,0
Crosswalk,10,0
Crosswalk,11,0
Crosswalk,12,0
Crosswalk,13,0
Crosswalk,13,1
Crosswalk,13,0
