timestamp,video,model left,model right,winner model,see,not_see,score,comments,mode,F1-Base,F1-Shadow
2024-02-03::10:22:06,video-1-segment-5,BLIP@shadow,,,"Person with a disability,Sidewalk,Bicycle,White Cane",,9,"in images 0 and 1, bicycles are merely visible.",single,0.9791666667,0.98
2024-02-03::10:30:18,video-4-segment-4,GPT4V,,,"Slopped Curb,White Cane,Sidewalk,Person with a disability",,4,,single,0.7975460123,
2024-02-03::10:37:00,video-3-segment-3,GPV-1@Shadow,,,"Gate,White Cane,Car,Sidewalk",,4,,single,0.6666666667,0.6666666667
2024-02-03::10:43:50,video-7-segment-2,GPT4V@Shadow,,,"White Cane,Person with a disability,Sidewalk,Person",,4,,single,0.8793103448,0.8760330579
2024-02-03::10:46:36,video-3-segment-3,BLIP,,,"Fence,Sidewalk,Person with a disability,White Cane",,5,,single,0.635193133,
2024-02-03::10:48:51,video-4-segment-3,GT_N,,,"Person with a disability,Fence,White Cane,Pillar",,7,,single,1,
2024-02-03::10:53:08,video-4-segment-1,GPV-1,,,"Bus,Fence,Person with a disability,White Cane",,5,,single,0.7142857143,
2024-02-03::10:54:52,video-15-segment-3,GPT4V,,,"White Cane,Car,Closed Sidewalk,Person",,10,,single,0.9523809524,
2024-02-03::10:56:46,video-14-segment-1,GPT4V,,,"Vegetation,Roadside Parking,White Cane,Stairs",,8,,single,0.8,
2024-02-03::10:58:32,video-14-segment-4,BLIP@shadow,,,"Person,White Cane,Person with a disability,Building",,7,,single,0.8205128205,0.825
2024-02-03::11:00:16,video-14-segment-1,GT_N,,,"Roadside Parking,White Cane,Person with a disability,Stairs",,10,,single,1,
2024-02-03::11:01:38,video-12-segment-4,BLIP,,,"White Cane,Pedestrian Crossing,Person with a disability,Building",,8,,single,0.9367088608,
2024-02-03::11:03:16,video-1-segment-4,BLIP,,,"Gate,Person with a disability,White Cane,Bicycle",,7,,single,0.7943262411,
2024-02-03::11:05:14,video-2-segment-1,GPV-1,,,"Vegetation,White Cane,Tree,Person with a disability",,7,,single,0.780952381,
2024-02-03::11:07:01,video-4-segment-4,GPT4V@Shadow,,,"Person with a disability,White Cane,Slopped Curb,Tree",,3,,single,0.6346153846,0.6354166667
2024-02-03::11:08:12,video-4-segment-3,GPV-1@Shadow,,,"Fence,Person with a disability,Pole,White Cane",,5,,single,0.8275862069,0.8266666667
2024-02-03::11:09:24,video-15-segment-3,Random,,,"Person with a disability,Car,White Cane,Road",,1,,single,0.4179104478,
2024-02-03::11:11:27,video-1-segment-4,Random,,,"Bicycle,Person with a disability,Fence,White Cane",,1,,single,0.3469387755,
2024-02-03::11:12:45,video-6-segment-2,GPV-1,,,"Person with a disability,Stairs,Pillar,White Cane",,6,,single,0.8524590164,
2024-02-03::11:14:15,video-7-segment-2,Random,,,"Building,Person with a disability,White Cane,Person",,4,,single,0.7021276596,
2024-02-03::11:16:19,video-11-segment-1,GPT4V@Shadow,,,"Trash bins,White Cane,Person with a disability,Tree",,3,,single,0.5217391304,0.523364486
2024-02-03::11:17:20,video-3-segment-2,GT_N,,,"Car,Fence,Person with a disability,White Cane",,7,,single,1,
2024-02-03::11:19:28,video-6-segment-2,BLIP@shadow,,,"White Cane,Pillar,Stairs,Person with a disability",,5,,single,0.6095238095,0.6111111111
2024-02-03::11:20:40,video-1-segment-5,GPV-1@Shadow,N/A,N/A,"Person with a disability,Bicycle,White Cane,Sidewalk",,6,,single,0.8936170213,0.8910891089
