timestamp,video,model left,model right,winner model,see,not_see,score,comments,mode,F1-Base,F1-Shadow
2024-02-05::10:25:07,video-14-segment-1,GPV-1,,,"White Cane,Car,Bench,Bus Stop,Yard Waste",,8,,single,0.7529411764705882,
2024-02-05::10:26:19,video-13-segment-2,GT_N,,,"Traffic Signals,Pole,Building,Road Divider,Stop sign",,10,,single,1.0,
2024-02-05::10:29:33,video-4-segment-1,GPV-1@Shadow,,,"Fence,Pole,Person with a disability,Wall,Uncontrolled Crossing",,8,,single,0.5542168674698795,
2024-02-05::10:33:05,video-3-segment-2,GPT4V@Shadow,,,"Parallel Parking Spot,Fence,Wet surface,White Cane,Stop sign,Tactile Paving",,7,,single,0.48,
2024-02-05::10:33:39,video-1-segment-5,GT_N,,,"Road,Motorcycle,Car,Stairs,Wheelchair,Pole",,10,,single,1.0,
2024-02-05::10:34:35,video-11-segment-1,BLIP,,,"Roadside Parking,Lamp Post,White Cane,Person,Trash on roads",,9,,single,0.6666666666666667,
2024-02-05::10:37:41,video-4-segment-3,GPV-1,,,"Tactile Paving,Fence,Curb,Train Tracks,Fire hydrant",,9,tactile paving ,single,0.7954545454545454,
2024-02-05::10:39:48,video-14-segment-4,Random,,,"White Cane,Gate,Lamp Post,Wall,Unpaved Sidewalk,Barrier Post",,7,,single,0.4507042253521127,
2024-02-05::10:43:43,video-11-segment-1,Random,,,"Trash bins,Pole,White Cane,Puddle,Train Tracks,Tree,Wet surface",,6,"misclassification of tree, cane accuracy needs improvement",single,0.4329896907216495,
2024-02-05::10:46:49,video-16-segment-3,BLIP,,,"Closed Sidewalk,Street Vendor,Sign Post,Wall,Bridge,Tactile Paving,Barrier Post,Car,White Cane",,10,,single,0.8652482269503546,
2024-02-05::10:48:06,video-1-segment-4,GPV-1,,,"Pedestrian Crossing,Vegetation,Slopped Curb,Roadside Parking,Uneven Stairs,White Cane",,8,,single,0.6194690265486724,
2024-02-05::10:48:58,video-4-segment-3,GT_N,,,"Vegetation,Slopped Curb,Pole,Sidewalk,Snow,Street Vendor,Person with a disability,White Cane",,10,,single,1.0,
2024-02-05::10:50:38,video-4-segment-4,GPT4V,,,"Slopped Curb,Sign,Bus,Curb,Wheelchair,Fountain,Person with a disability,White Cane,Closed Sidewalk,Sidewalk",,8,correlate - white cane with person with disability,single,0.7592592592592593,
2024-02-05::10:51:39,video-4-segment-4,BLIP@Shadow,,,"Sign Post,Pole,Person with a disability,White Cane,Uneven Stairs,Wheelchair,Vegetation,Sidewalk",,8,,single,0.6037735849056604,
2024-02-05::10:52:15,video-4-segment-1,BLIP,,,"Trash on roads,Trash bins,Person,Car,Tactile Paving,White Cane",,8,,single,0.8403361344537814,
2024-02-05::10:53:22,video-13-segment-2,GPT4V,,,"Road Divider,Pedestrian Crossing,Building,Sign,Flush Door,Train Platform,White Cane,Sidewalk,Car,Traffic Signals",,9,,single,0.8235294117647058,
2024-02-05::10:56:45,video-14-segment-1,Random,,,"Car,Bench,Stairs,Road,Water leakage,Escalator,Fence,Road Shoulder,White Cane,Traffic Signals",,7,,single,0.437956204379562,
2024-02-05::10:57:43,video-3-segment-3,GPT4V@Shadow,,,"Person with a disability,Stairs,Vegetation,Gate,Tactile Paving,Water leakage,White Cane,Car,Traffic Signals,Sidewalk",,7,,single,0.7226890756302522,
2024-02-05::10:59:15,video-16-segment-3,BLIP@Shadow,,,"Vegetation,Slopped Curb,Pole,Person with a disability,Railing,Accent Paving,White Cane,Sidewalk,Barrier Stump,Closed Sidewalk,Person,Car",,8,,single,0.8350515463917526,
2024-02-05::11:00:10,video-3-segment-3,GPV-1@Shadow,,,"White Cane,Curb,Slopped Curb,Gate,Water Pipes,Road Shoulder,Car,Closed Sidewalk,Sidewalk,Escalator,Traffic Signals",,9,,single,0.6138613861386139,
2024-02-05::11:01:23,video-15-segment-3,GPT4V,,,"Car,Wall,Trash bins,Fence,Bench,Parallel Parking Spot,Sidewalk,White Cane,Person with a disability,Closed Sidewalk,Person",,10,,single,0.7368421052631577,
2024-02-05::11:03:15,video-2-segment-1,GPV-1@Shadow,,,"Slopped Curb,Bicycle,Motorcycle,Sign,Wet surface,Fence,Person with a disability,Person,Traffic Signals,Car,White Cane",,6,,single,0.5735294117647058,
2024-02-05::11:04:15,video-1-segment-5,BLIP@Shadow,,,"Retaining Wall,Road,Stairs,Person,Water Pipes,Road Divider,Sidewalk,Car,White Cane",,10,,single,0.8512820512820513,
2024-02-05::11:04:49,video-15-segment-3,GPT4V@Shadow,N/A,N/A,"Bicycle,Vegetation,Road Shoulder,Driveway(flat),Bridge,Retaining Wall,Car,Person,Person with a disability,White Cane",,10,,single,0.7846153846153846,N/A
