participant,trial,video,model left,score,F1-Base,F1-Shadow,timing,see_count,see,expertise,normalized_score_mc,normalized_score,frames,normalized_timing,normalized_timing_minmax
P1,1,video-4-segment-3,Random,0.8,0.6667,,411.0,5,"Sidewalk,White Cane,Fence,Driveway(flat),Person with a disability",Expert,-0.11666666666666659,0.40338983050847466,16,231.70833333333334,0.07083063227837844
P1,2,video-11-segment-1,GPV-1,0.9,0.931,,351.0,4,"Trash bins,Car,Pole,Person with a disability",Expert,-0.016666666666666607,0.4847457627118645,16,171.70833333333334,0.07013607528997753
P1,3,video-14-segment-4,GPV-1@Shadow,0.9,0.8974,0.8941,169.0,4,"Person with a disability,Building,Vegetation,Fence",Expert,-0.016666666666666607,0.4847457627118645,12,-10.291666666666657,0.06802925242516147
P1,4,video-2-segment-1,GPT4V@Shadow,0.9,0.8762,0.8785,262.0,4,"Sidewalk,Person,Vegetation,Building",Expert,-0.016666666666666607,0.4847457627118645,16,82.70833333333334,0.06910581575718287
P1,5,video-4-segment-4,Ground Truth,1.0,1.0,,204.0,4,"Person with a disability,White Cane,Sidewalk,Road",Expert,0.08333333333333337,0.5661016949152543,16,24.708333333333343,0.06843441066839534
P1,6,video-11-segment-1,Ground Truth,1.0,1.0,,182.0,4,"Car,Person with a disability,Trash bins,Road",Expert,0.08333333333333337,0.5661016949152543,16,2.708333333333343,0.06817973977264834
P1,7,video-4-segment-1,GPV-1,0.8,0.5938,,252.0,4,"Person with a disability,Bus,Fence,Bench",Expert,-0.11666666666666659,0.40338983050847466,14,72.70833333333334,0.06899005625911606
P1,8,video-15-segment-3,BLIP,1.0,1.0,,145.0,5,"Person,Car,Road,Vegetation,Building",Expert,0.08333333333333337,0.5661016949152543,15,-34.29166666666666,0.06775142962980112
P1,9,video-12-segment-4,BLIP,1.0,0.8991,,143.0,4,"Mail box,Tree,Person with a disability,Pedestrian Crossing",Expert,0.08333333333333337,0.5661016949152543,16,-36.29166666666666,0.06772827773018776
P1,10,video-1-segment-5,GPT4V,1.0,0.9062,,108.0,4,"Motorcycle,Person with a disability,Curb,Car",Expert,0.08333333333333337,0.5661016949152543,14,-71.29166666666666,0.0673231194869539
P1,11,video-4-segment-4,GPV-1@Shadow,1.0,0.8539,0.8571,103.0,4,"Curb,Vegetation,Person with a disability,Road",Expert,0.08333333333333337,0.5661016949152543,16,-76.29166666666666,0.06726523973792049
P1,12,video-14-segment-4,GPT4V,0.9,0.8889,,122.0,4,"Person,Person with a disability,Building,Vegetation",Expert,-0.016666666666666607,0.4847457627118645,12,-57.29166666666666,0.06748518278424745
P1,13,video-14-segment-1,GPT4V@Shadow,0.9,0.8298,0.8298,119.0,4,"Stairs,Person,Road,Fence",Expert,-0.016666666666666607,0.4847457627118645,15,-60.29166666666666,0.0674504549348274
P1,14,video-1-segment-4,BLIP@shadow,0.8,0.6804,0.6804,283.0,4,"Person with a disability,Vegetation,Fence,Building",Expert,-0.11666666666666659,0.40338983050847466,16,103.70833333333334,0.06934891070312318
P1,15,video-6-segment-2,GPV-1,0.9,0.8952,,232.0,4,"Person with a disability,Stairs,Accent Paving,Pillar",Expert,-0.016666666666666607,0.4847457627118645,16,52.70833333333334,0.06875853726298242
P1,16,video-3-segment-2,Random,0.8,0.6866,,227.0,4,"Car,Person with a disability,Fence,Road",Expert,-0.11666666666666659,0.40338983050847466,12,47.70833333333334,0.06870065751394902
P1,17,video-13-segment-2,BLIP,0.9,0.9159,,116.0,4,"Pole,Person,Car,Road",Expert,-0.016666666666666607,0.4847457627118645,16,-63.29166666666666,0.06741572708540736
