participant,trial,video,model left,score,F1-Base,F1-Shadow,timing,see_count,see,expertise,normalized_score_mc,normalized_score
P1,1,video-4-segment-3,Random,0.8,0.6667,,411.0,5,"Sidewalk,White Cane,Fence,Driveway(flat),Person with a disability",Expert,-0.1166666666666665,0.4033898305084746
P1,2,video-11-segment-1,GPV-1,0.9,0.931,,351.0,4,"Trash bins,Car,Pole,Person with a disability",Expert,-0.0166666666666666,0.4847457627118645
P1,3,video-14-segment-4,GPV-1@Shadow,0.9,0.8974,0.8941,169.0,4,"Person with a disability,Building,Vegetation,Fence",Expert,-0.0166666666666666,0.4847457627118645
P1,4,video-2-segment-1,GPT4V@Shadow,0.9,0.8762,0.8785,262.0,4,"Sidewalk,Person,Vegetation,Building",Expert,-0.0166666666666666,0.4847457627118645
P1,5,video-4-segment-4,Ground Truth,1.0,1.0,,204.0,4,"Person with a disability,White Cane,Sidewalk,Road",Expert,0.0833333333333333,0.5661016949152543
P1,6,video-11-segment-1,Ground Truth,1.0,1.0,,182.0,4,"Car,Person with a disability,Trash bins,Road",Expert,0.0833333333333333,0.5661016949152543
P1,7,video-4-segment-1,GPV-1,0.8,0.5938,,252.0,4,"Person with a disability,Bus,Fence,Bench",Expert,-0.1166666666666665,0.4033898305084746
P1,8,video-15-segment-3,BLIP,1.0,1.0,,145.0,5,"Person,Car,Road,Vegetation,Building",Expert,0.0833333333333333,0.5661016949152543
P1,9,video-12-segment-4,BLIP,1.0,0.8991,,143.0,4,"Mail box,Tree,Person with a disability,Pedestrian Crossing",Expert,0.0833333333333333,0.5661016949152543
P1,10,video-1-segment-5,GPT4V,1.0,0.9062,,108.0,4,"Motorcycle,Person with a disability,Curb,Car",Expert,0.0833333333333333,0.5661016949152543
P1,11,video-4-segment-4,GPV-1@Shadow,1.0,0.8539,0.8571,103.0,4,"Curb,Vegetation,Person with a disability,Road",Expert,0.0833333333333333,0.5661016949152543
P1,12,video-14-segment-4,GPT4V,0.9,0.8889,,122.0,4,"Person,Person with a disability,Building,Vegetation",Expert,-0.0166666666666666,0.4847457627118645
P1,13,video-14-segment-1,GPT4V@Shadow,0.9,0.8298,0.8298,119.0,4,"Stairs,Person,Road,Fence",Expert,-0.0166666666666666,0.4847457627118645
P1,14,video-1-segment-4,BLIP@shadow,0.8,0.6804,0.6804,283.0,4,"Person with a disability,Vegetation,Fence,Building",Expert,-0.1166666666666665,0.4033898305084746
P1,15,video-6-segment-2,GPV-1,0.9,0.8952,,232.0,4,"Person with a disability,Stairs,Accent Paving,Pillar",Expert,-0.0166666666666666,0.4847457627118645
P1,16,video-3-segment-2,Random,0.8,0.6866,,227.0,4,"Car,Person with a disability,Fence,Road",Expert,-0.1166666666666665,0.4033898305084746
P1,17,video-13-segment-2,BLIP,0.9,0.9159,,116.0,4,"Pole,Person,Car,Road",Expert,-0.0166666666666666,0.4847457627118645
P1,18,video-3-segment-3,GPT4V@Shadow,1.0,0.9639,0.9639,103.0,4,"Curb,Tree,Car,Fence",Expert,0.0833333333333333,0.5661016949152543
P1,19,video-7-segment-2,BLIP@shadow,0.9,0.8148,0.8148,125.0,4,"Person with a disability,Car,Sidewalk,Pole",Expert,-0.0166666666666666,0.4847457627118645
P1,20,video-2-segment-1,BLIP@shadow,0.9,0.8411,0.8411,188.0,4,"Vegetation,Person,Building,Road",Expert,-0.0166666666666666,0.4847457627118645
P1,21,video-13-segment-2,Random,0.8,0.6667,,156.0,4,"Person with a disability,Car,Road,Pole",Expert,-0.1166666666666665,0.4033898305084746
P1,22,video-3-segment-3,Ground Truth,1.0,1.0,,73.0,4,"Car,Person with a disability,Fence,Tree",Expert,0.0833333333333333,0.5661016949152543
P1,23,video-16-segment-3,GPT4V,1.0,0.9333,,113.0,4,"Curb,Person with a disability,Car,Person",Expert,0.0833333333333333,0.5661016949152543
P1,24,video-1-segment-5,GPV-1@Shadow,0.9,0.8537,0.8537,116.0,4,"Motorcycle,Person with a disability,Car,Bicycle",Expert,-0.0166666666666666,0.4847457627118645
P2,1,video-14-segment-4,BLIP@shadow,0.3,0.8172043011,0.82,343.0,5,"Vegetation,Fence,Person with a disability,Person,Building",Non-Expert,-0.2166666666666667,0.3220338983050846
P2,2,video-4-segment-4,GPV-1,0.7,0.6438356164,,283.0,4,"Sloped Driveway,Person with a disability,Vegetation,White Cane",Non-Expert,0.1833333333333332,0.647457627118644
P2,3,video-4-segment-3,GPT4V@Shadow,0.7,0.6326530612,0.6335403727,187.0,5,"Fence,Yard Waste,Pole,Pillar,Person with a disability",Non-Expert,0.1833333333333332,0.647457627118644
P2,4,video-3-segment-2,BLIP,0.8,0.7126436782,,281.0,5,"Car,Road,Maintenance Vehicle,Fence,Person with a disability",Non-Expert,0.2833333333333333,0.728813559322034
P2,5,video-16-segment-3,Ground Truth,0.9,1.0,,216.0,6,"White Cane,Car,Sign Post,Bus Stop,Closed Sidewalk,Mail box",Non-Expert,0.3833333333333333,0.8101694915254237
P2,6,video-7-segment-2,Random,0.5,0.624,,456.0,6,"Road,Accent Paving,Sidewalk,Slopped Curb,White Cane,Car",Non-Expert,-0.0166666666666667,0.4847457627118643
P2,7,video-1-segment-5,GPV-1@Shadow,0.3,0.7111111111,0.7102803738,302.0,5,"Car,White Cane,Uneven Stairs,Bicycle,Person with a disability",Non-Expert,-0.2166666666666667,0.3220338983050846
P2,8,video-15-segment-3,BLIP,0.5,0.9448818898,,416.0,7,"Vegetation,Person,Car,Building,Bicycle,Motorcycle,Wet surface",Non-Expert,-0.0166666666666667,0.4847457627118643
P2,9,video-4-segment-1,BLIP,0.8,0.737704918,,136.0,7,"Bus,Person,Trash on roads,Road Divider,Accent Paving,Bench,Fence",Non-Expert,0.2833333333333333,0.728813559322034
P2,10,video-11-segment-1,GPV-1,0.8,0.8630136986,,145.0,6,"Car,Road,Parallel Parking Spot,Unpaved Road,Bus,Trash bins",Non-Expert,0.2833333333333333,0.728813559322034
P2,11,video-3-segment-3,GPT4V,0.6,0.7976190476,,150.0,6,"Car,Barrier Post,Sidewalk,Person with a disability,Fence,Vegetation",Non-Expert,0.0833333333333332,0.5661016949152542
P2,12,video-4-segment-3,GPV-1@Shadow,0.5,0.6616541353,0.6625766871,113.0,5,"Pole,Person with a disability,Tactile Paving,Street Vendor,White Cane",Non-Expert,-0.0166666666666667,0.4847457627118643
P2,13,video-3-segment-2,GPT4V,0.2,0.5319148936,,107.0,7,"Puddle,Parallel Parking Spot,Wet surface,Car,Fence,Person with a disability,White Cane",Non-Expert,-0.3166666666666667,0.2406779661016948
P2,14,video-4-segment-1,GPT4V@Shadow,0.4,0.7741935484,0.7719298246,154.0,5,"Person with a disability,Road,Bench,Bus,Trash on roads",Non-Expert,-0.1166666666666667,0.4033898305084745
P2,15,video-1-segment-4,GPV-1,0.5,0.7407407407,,116.0,6,"Road,Tree,Bicycle,Person with a disability,White Cane,Gate",Non-Expert,-0.0166666666666667,0.4847457627118643
P2,16,video-1-segment-5,Random,0.7,0.5773195876,,103.0,6,"Bicycle,Car,Roadside Parking,Uneven Stairs,White Cane,Motorcycle",Non-Expert,0.1833333333333332,0.647457627118644
P2,17,video-14-segment-1,BLIP@shadow,0.4,0.8827586207,0.8843537415,98.0,6,"Tree,Vegetation,Tactile Paving,Person with a disability,Stairs,Car",Non-Expert,-0.1166666666666667,0.4033898305084745
P2,18,video-2-segment-1,Ground Truth,0.9,1.0,,114.0,5,"Person,Lamp Post,Bicycle,Vegetation,Car",Non-Expert,0.3833333333333333,0.8101694915254237
P2,19,video-14-segment-4,GPV-1@Shadow,0.2,0.8974358974,0.8941176471,57.0,4,"Person with a disability,Fence,Vegetation,Building",Non-Expert,-0.3166666666666667,0.2406779661016948
P2,20,video-11-segment-1,GPT4V@Shadow,0.2,0.7833333333,0.782122905,77.0,6,"Vegetation,Building,Motorcycle,Trash bins,Person with a disability,Bus",Non-Expert,-0.3166666666666667,0.2406779661016948
P2,21,video-6-segment-2,Random,0.3,0.6021505376,,214.0,4,"Person with a disability,White Cane,Tactile Paving,Stairs",Non-Expert,-0.2166666666666667,0.3220338983050846
P2,22,video-13-segment-2,GPT4V,0.5,0.8977272727,,128.0,5,"Traffic Signals,Pole,Stop sign,Car,Person with a disability",Non-Expert,-0.0166666666666667,0.4847457627118643
P2,23,video-6-segment-2,BLIP@shadow,0.1,0.5142857143,0.5148514851,65.0,8,"Person with a disability,Retaining Wall,Pillar,White Cane,Stairs,Tactile Paving,Car,Bicycle",Non-Expert,-0.4166666666666667,0.159322033898305
P2,24,video-13-segment-2,Ground Truth,0.6,1.0,,108.0,5,"Building,Person with a disability,Traffic Signals,Car,Pedestrian Crossing",Non-Expert,0.0833333333333332,0.5661016949152542
P3,1,video-1-segment-5,BLIP@shadow,0.9,0.9791666667,0.98,552.0,4,"Person with a disability,Sidewalk,Bicycle,White Cane",Non-Expert,0.3333333333333332,0.7694915254237288
P3,2,video-4-segment-4,GPT4V,0.4,0.7975460123,,492.0,4,"Slopped Curb,White Cane,Sidewalk,Person with a disability",Non-Expert,-0.1666666666666667,0.3627118644067796
P3,3,video-3-segment-3,GPV-1@Shadow,0.4,0.6666666667,0.6666666667,402.0,4,"Gate,White Cane,Car,Sidewalk",Non-Expert,-0.1666666666666667,0.3627118644067796
P3,4,video-7-segment-2,GPT4V@Shadow,0.4,0.8793103448,0.8760330579,410.0,4,"White Cane,Person with a disability,Sidewalk,Person",Non-Expert,-0.1666666666666667,0.3627118644067796
P3,5,video-3-segment-3,BLIP,0.5,0.635193133,,166.0,4,"Fence,Sidewalk,Person with a disability,White Cane",Non-Expert,-0.0666666666666667,0.4440677966101694
P3,6,video-4-segment-3,Ground Truth,0.7,1.0,,135.0,4,"Person with a disability,Fence,White Cane,Pillar",Non-Expert,0.1333333333333332,0.606779661016949
P3,7,video-4-segment-1,GPV-1,0.5,0.7142857143,,257.0,4,"Bus,Fence,Person with a disability,White Cane",Non-Expert,-0.0666666666666667,0.4440677966101694
P3,8,video-15-segment-3,GPT4V,1.0,0.9523809524,,104.0,4,"White Cane,Car,Closed Sidewalk,Person",Non-Expert,0.4333333333333332,0.8508474576271187
P3,9,video-14-segment-1,GPT4V,0.8,0.8,,114.0,4,"Vegetation,Roadside Parking,White Cane,Stairs",Non-Expert,0.2333333333333332,0.688135593220339
P3,10,video-14-segment-4,BLIP@shadow,0.7,0.8205128205,0.825,106.0,4,"Person,White Cane,Person with a disability,Building",Non-Expert,0.1333333333333332,0.606779661016949
P3,11,video-14-segment-1,Ground Truth,1.0,1.0,,104.0,4,"Roadside Parking,White Cane,Person with a disability,Stairs",Non-Expert,0.4333333333333332,0.8508474576271187
P3,12,video-12-segment-4,BLIP,0.8,0.9367088608,,82.0,4,"White Cane,Pedestrian Crossing,Person with a disability,Building",Non-Expert,0.2333333333333332,0.688135593220339
P3,13,video-1-segment-4,BLIP,0.7,0.7943262411,,98.0,4,"Gate,Person with a disability,White Cane,Bicycle",Non-Expert,0.1333333333333332,0.606779661016949
P3,14,video-2-segment-1,GPV-1,0.7,0.780952381,,118.0,4,"Vegetation,White Cane,Tree,Person with a disability",Non-Expert,0.1333333333333332,0.606779661016949
P3,15,video-4-segment-4,GPT4V@Shadow,0.3,0.6346153846,0.6354166667,107.0,4,"Person with a disability,White Cane,Slopped Curb,Tree",Non-Expert,-0.2666666666666668,0.2813559322033897
P3,16,video-4-segment-3,GPV-1@Shadow,0.5,0.8275862069,0.8266666667,71.0,4,"Fence,Person with a disability,Pole,White Cane",Non-Expert,-0.0666666666666667,0.4440677966101694
P3,17,video-15-segment-3,Random,0.1,0.4179104478,,72.0,4,"Person with a disability,Car,White Cane,Road",Non-Expert,-0.4666666666666668,0.11864406779661
P3,18,video-1-segment-4,Random,0.1,0.3469387755,,123.0,4,"Bicycle,Person with a disability,Fence,White Cane",Non-Expert,-0.4666666666666668,0.11864406779661
P3,19,video-6-segment-2,GPV-1,0.6,0.8524590164,,78.0,4,"Person with a disability,Stairs,Pillar,White Cane",Non-Expert,0.0333333333333332,0.5254237288135593
P3,20,video-7-segment-2,Random,0.4,0.7021276596,,90.0,4,"Building,Person with a disability,White Cane,Person",Non-Expert,-0.1666666666666667,0.3627118644067796
P3,21,video-11-segment-1,GPT4V@Shadow,0.3,0.5217391304,0.523364486,124.0,4,"Trash bins,White Cane,Person with a disability,Tree",Non-Expert,-0.2666666666666668,0.2813559322033897
P3,22,video-3-segment-2,Ground Truth,0.7,1.0,,61.0,4,"Car,Fence,Person with a disability,White Cane",Non-Expert,0.1333333333333332,0.606779661016949
