participant,trial,video,model left,score,timing,see_count,see,expertise,F1-Base,F1-Shadow,normalized_score
P1,1,video-4-segment-3,Random,0.8,411.0,5,"Sidewalk,White Cane,Fence,Driveway(flat),Person with a disability",Expert,,,-0.583333333333333
P1,2,video-11-segment-1,GPV-1,0.9,351.0,4,"Trash bins,Car,Pole,Person with a disability",Expert,,,-0.08333333333333305
P1,3,video-14-segment-4,GPV-1@Shadow,0.9,169.0,4,"Person with a disability,Building,Vegetation,Fence",Expert,,,-0.08333333333333305
P1,4,video-2-segment-1,GPT4V@Shadow,0.9,262.0,4,"Sidewalk,Person,Vegetation,Building",Expert,,,-0.08333333333333305
P1,5,video-4-segment-4,Ground Truth,1.0,204.0,4,"Person with a disability,White Cane,Sidewalk,Road",Expert,,,0.41666666666666696
P1,6,video-11-segment-1,Ground Truth,1.0,182.0,4,"Car,Person with a disability,Trash bins,Road",Expert,,,0.41666666666666696
P1,7,video-4-segment-1,GPV-1,0.8,252.0,4,"Person with a disability,Bus,Fence,Bench",Expert,,,-0.583333333333333
P1,8,video-15-segment-3,BLIP,1.0,145.0,5,"Person,Car,Road,Vegetation,Building",Expert,,,0.41666666666666696
P1,9,video-12-segment-4,BLIP,1.0,143.0,4,"Mail box,Tree,Person with a disability,Pedestrian Crossing",Expert,,,0.41666666666666696
P1,10,video-1-segment-5,GPT4V,1.0,108.0,4,"Motorcycle,Person with a disability,Curb,Car",Expert,,,0.41666666666666696
P1,11,video-4-segment-4,GPV-1@Shadow,1.0,103.0,4,"Curb,Vegetation,Person with a disability,Road",Expert,,,0.41666666666666696
P1,12,video-14-segment-4,GPT4V,0.9,122.0,4,"Person,Person with a disability,Building,Vegetation",Expert,,,-0.08333333333333305
P1,13,video-14-segment-1,GPT4V@Shadow,0.9,119.0,4,"Stairs,Person,Road,Fence",Expert,,,-0.08333333333333305
P1,14,video-1-segment-4,BLIP@shadow,0.8,283.0,4,"Person with a disability,Vegetation,Fence,Building",Expert,,,-0.583333333333333
P1,15,video-6-segment-2,GPV-1,0.9,232.0,4,"Person with a disability,Stairs,Accent Paving,Pillar",Expert,,,-0.08333333333333305
P1,16,video-3-segment-2,Random,0.8,227.0,4,"Car,Person with a disability,Fence,Road",Expert,,,-0.583333333333333
P1,17,video-13-segment-2,BLIP,0.9,116.0,4,"Pole,Person,Car,Road",Expert,,,-0.08333333333333305
P1,18,video-3-segment-3,GPT4V@Shadow,1.0,103.0,4,"Curb,Tree,Car,Fence",Expert,,,0.41666666666666696
P1,19,video-7-segment-2,BLIP@shadow,0.9,125.0,4,"Person with a disability,Car,Sidewalk,Pole",Expert,,,-0.08333333333333305
P1,20,video-2-segment-1,BLIP@shadow,0.9,188.0,4,"Vegetation,Person,Building,Road",Expert,,,-0.08333333333333305
P1,21,video-13-segment-2,Random,0.8,156.0,4,"Person with a disability,Car,Road,Pole",Expert,,,-0.583333333333333
P1,22,video-3-segment-3,Ground Truth,1.0,73.0,4,"Car,Person with a disability,Fence,Tree",Expert,,,0.41666666666666696
P1,23,video-16-segment-3,GPT4V,1.0,113.0,4,"Curb,Person with a disability,Car,Person",Expert,,,0.41666666666666696
P1,24,video-1-segment-5,GPV-1@Shadow,0.9,116.0,4,"Motorcycle,Person with a disability,Car,Bicycle",Expert,,,-0.08333333333333305
P2,1,video-14-segment-4,BLIP@shadow,0.3,343.0,5,"Vegetation,Fence,Person with a disability,Person,Building",Novice/Intermediate,0.8172043011,0.82,-0.27083333333333337
P2,2,video-4-segment-4,GPV-1,0.7,283.0,4,"Sloped Driveway,Person with a disability,Vegetation,White Cane",Novice/Intermediate,0.6438356164,,0.22916666666666655
P2,3,video-4-segment-3,GPT4V@Shadow,0.7,187.0,5,"Fence,Yard Waste,Pole,Pillar,Person with a disability",Novice/Intermediate,0.6326530612,0.6335403727,0.22916666666666655
P2,4,video-3-segment-2,BLIP,0.8,281.0,5,"Car,Road,Maintenance Vehicle,Fence,Person with a disability",Novice/Intermediate,0.7126436782,,0.35416666666666663
P2,5,video-16-segment-3,Ground Truth,0.9,216.0,6,"White Cane,Car,Sign Post,Bus Stop,Closed Sidewalk,Mail box",Novice/Intermediate,1.0,,0.47916666666666663
P2,6,video-7-segment-2,Random,0.5,456.0,6,"Road,Accent Paving,Sidewalk,Slopped Curb,White Cane,Car",Novice/Intermediate,0.624,,-0.020833333333333398
P2,7,video-1-segment-5,GPV-1@Shadow,0.3,302.0,5,"Car,White Cane,Uneven Stairs,Bicycle,Person with a disability",Novice/Intermediate,0.7111111111,0.7102803738,-0.27083333333333337
P2,8,video-15-segment-3,BLIP,0.5,416.0,7,"Vegetation,Person,Car,Building,Bicycle,Motorcycle,Wet surface",Novice/Intermediate,0.9448818898,,-0.020833333333333398
P2,9,video-4-segment-1,BLIP,0.8,136.0,7,"Bus,Person,Trash on roads,Road Divider,Accent Paving,Bench,Fence",Novice/Intermediate,0.737704918,,0.35416666666666663
P2,10,video-11-segment-1,GPV-1,0.8,145.0,6,"Car,Road,Parallel Parking Spot,Unpaved Road,Bus,Trash bins",Novice/Intermediate,0.8630136986,,0.35416666666666663
P2,11,video-3-segment-3,GPT4V,0.6,150.0,6,"Car,Barrier Post,Sidewalk,Person with a disability,Fence,Vegetation",Novice/Intermediate,0.7976190476,,0.10416666666666657
P2,12,video-4-segment-3,GPV-1@Shadow,0.5,113.0,5,"Pole,Person with a disability,Tactile Paving,Street Vendor,White Cane",Novice/Intermediate,0.6616541353,0.6625766871,-0.020833333333333398
P2,13,video-3-segment-2,GPT4V,0.2,107.0,7,"Puddle,Parallel Parking Spot,Wet surface,Car,Fence,Person with a disability,White Cane",Novice/Intermediate,0.5319148936,,-0.39583333333333337
P2,14,video-4-segment-1,GPT4V@Shadow,0.4,154.0,5,"Person with a disability,Road,Bench,Bus,Trash on roads",Novice/Intermediate,0.7741935484,0.7719298246,-0.14583333333333337
P2,15,video-1-segment-4,GPV-1,0.5,116.0,6,"Road,Tree,Bicycle,Person with a disability,White Cane,Gate",Novice/Intermediate,0.7407407407,,-0.020833333333333398
P2,16,video-1-segment-5,Random,0.7,103.0,6,"Bicycle,Car,Roadside Parking,Uneven Stairs,White Cane,Motorcycle",Novice/Intermediate,0.5773195876,,0.22916666666666655
P2,17,video-14-segment-1,BLIP@shadow,0.4,98.0,6,"Tree,Vegetation,Tactile Paving,Person with a disability,Stairs,Car",Novice/Intermediate,0.8827586207,0.8843537415,-0.14583333333333337
P2,18,video-2-segment-1,Ground Truth,0.9,114.0,5,"Person,Lamp Post,Bicycle,Vegetation,Car",Novice/Intermediate,1.0,,0.47916666666666663
P2,19,video-14-segment-4,GPV-1@Shadow,0.2,57.0,4,"Person with a disability,Fence,Vegetation,Building",Novice/Intermediate,0.8974358974,0.8941176471,-0.39583333333333337
P2,20,video-11-segment-1,GPT4V@Shadow,0.2,77.0,6,"Vegetation,Building,Motorcycle,Trash bins,Person with a disability,Bus",Novice/Intermediate,0.7833333333,0.782122905,-0.39583333333333337
P2,21,video-6-segment-2,Random,0.3,214.0,4,"Person with a disability,White Cane,Tactile Paving,Stairs",Novice/Intermediate,0.6021505376,,-0.27083333333333337
P2,22,video-13-segment-2,GPT4V,0.5,128.0,5,"Traffic Signals,Pole,Stop sign,Car,Person with a disability",Novice/Intermediate,0.8977272727,,-0.020833333333333398
P2,23,video-6-segment-2,BLIP@shadow,0.1,65.0,8,"Person with a disability,Retaining Wall,Pillar,White Cane,Stairs,Tactile Paving,Car,Bicycle",Novice/Intermediate,0.5142857143,0.5148514851,-0.5208333333333334
P2,24,video-13-segment-2,Ground Truth,0.6,108.0,5,"Building,Person with a disability,Traffic Signals,Car,Pedestrian Crossing",Novice/Intermediate,1.0,,0.10416666666666657
P3,1,video-1-segment-5,BLIP@shadow,0.9,552.0,4,"Person with a disability,Sidewalk,Bicycle,White Cane",Novice/Intermediate,0.9791666667,0.98,0.3703703703703703
P3,2,video-4-segment-4,GPT4V,0.4,492.0,4,"Slopped Curb,White Cane,Sidewalk,Person with a disability",Novice/Intermediate,0.7975460123,,-0.18518518518518526
P3,3,video-3-segment-3,GPV-1@Shadow,0.4,402.0,4,"Gate,White Cane,Car,Sidewalk",Novice/Intermediate,0.6666666667,0.6666666667,-0.18518518518518526
P3,4,video-7-segment-2,GPT4V@Shadow,0.4,410.0,4,"White Cane,Person with a disability,Sidewalk,Person",Novice/Intermediate,0.8793103448,0.8760330579,-0.18518518518518526
P3,5,video-3-segment-3,BLIP,0.5,166.0,4,"Fence,Sidewalk,Person with a disability,White Cane",Novice/Intermediate,0.635193133,,-0.07407407407407418
P3,6,video-4-segment-3,Ground Truth,0.7,135.0,4,"Person with a disability,Fence,White Cane,Pillar",Novice/Intermediate,1.0,,0.148148148148148
P3,7,video-4-segment-1,GPV-1,0.5,257.0,4,"Bus,Fence,Person with a disability,White Cane",Novice/Intermediate,0.7142857143,,-0.07407407407407418
P3,8,video-15-segment-3,GPT4V,1.0,104.0,4,"White Cane,Car,Closed Sidewalk,Person",Novice/Intermediate,0.9523809524,,0.48148148148148134
P3,9,video-14-segment-1,GPT4V,0.8,114.0,4,"Vegetation,Roadside Parking,White Cane,Stairs",Novice/Intermediate,0.8,,0.2592592592592592
P3,10,video-14-segment-4,BLIP@shadow,0.7,106.0,4,"Person,White Cane,Person with a disability,Building",Novice/Intermediate,0.8205128205,0.825,0.148148148148148
