support,itemsets
0.014577259475218658,"frozenset({'Person', 'Car', 'White Cane', 'Fence', 'Person with a disability'})"
0.014577259475218658,"frozenset({'Person', 'Car', 'White Cane', 'Closed Sidewalk', 'Person with a disability'})"
0.011661807580174927,"frozenset({'Accent Paving', 'White Cane', 'Vegetation', 'Sidewalk', 'Pole'})"
0.011661807580174927,"frozenset({'Person', 'Car', 'Bicycle', 'White Cane', 'Person with a disability'})"
0.011661807580174927,"frozenset({'Car', 'Wet surface', 'White Cane', 'Fence', 'Person with a disability'})"
0.011661807580174927,"frozenset({'Snow', 'Person', 'Car', 'White Cane', 'Pole'})"
0.011661807580174927,"frozenset({'Snow', 'Person', 'Car', 'White Cane', 'Person with a disability'})"
0.011661807580174927,"frozenset({'Snow', 'Curb', 'Person', 'Car', 'White Cane'})"
0.011661807580174927,"frozenset({'White Cane', 'Vegetation', 'Sidewalk', 'Person with a disability', 'Pole'})"
0.008746355685131196,"frozenset({'Snow', 'Tree', 'Car', 'Trash bins', 'Person with a disability'})"
0.008746355685131196,"frozenset({'Gate', 'Sign', 'Bus', 'Closed Sidewalk', 'Roadside Parking'})"
0.008746355685131196,"frozenset({'Snow', 'Stairs', 'Roadside Parking', 'White Cane', 'Person with a disability'})"
0.008746355685131196,"frozenset({'White Cane', 'Vegetation', 'Sidewalk', 'Road', 'Pole'})"
0.008746355685131196,"frozenset({'Snow', 'Stairs', 'Tree', 'Person with a disability', 'Pole'})"
0.008746355685131196,"frozenset({'Gate', 'Person', 'Bicycle', 'Closed Sidewalk', 'Roadside Parking'})"
0.008746355685131196,"frozenset({'Snow', 'Person', 'Car', 'White Cane', 'Turnstile'})"
0.008746355685131196,"frozenset({'Barrier Stump', 'Car', 'Railing', 'Vegetation', 'Person with a disability'})"
0.008746355685131196,"frozenset({'Tree', 'Person', 'Bicycle', 'Pole', 'Pillar'})"
0.008746355685131196,"frozenset({'Stairs', 'Car', 'Railing', 'Vegetation', 'Person with a disability'})"
0.008746355685131196,"frozenset({'Sign', 'Person', 'Street Vendor', 'White Cane', 'Person with a disability'})"
0.008746355685131196,"frozenset({'Slopped Curb', 'Water Pipes', 'Person', 'Person with a disability', 'Traffic Signals'})"
0.008746355685131196,"frozenset({'Sloped Driveway', 'Slopped Curb', 'Tree', 'Person', 'Train Platform'})"
0.008746355685131196,"frozenset({'Person', 'White Cane', 'Vegetation', 'Sidewalk', 'Pole'})"
0.008746355685131196,"frozenset({'Person', 'Car', 'White Cane', 'Sidewalk', 'Closed Sidewalk'})"
0.008746355685131196,"frozenset({'Car', 'White Cane', 'Sidewalk', 'Closed Sidewalk', 'Person with a disability'})"
0.008746355685131196,"frozenset({'Sign', 'Wet surface', 'Bicycle', 'Closed Sidewalk', 'Roadside Parking'})"
0.008746355685131196,"frozenset({'Gate', 'Sign', 'Wet surface', 'Bicycle', 'Roadside Parking'})"
0.008746355685131196,"frozenset({'Counter', 'Person', 'White Cane', 'Road', 'Roadside Parking'})"
0.008746355685131196,"frozenset({'Gate', 'Sign', 'Wet surface', 'Closed Sidewalk', 'Roadside Parking'})"
0.008746355685131196,"frozenset({'Person', 'White Cane', 'Sidewalk', 'Closed Sidewalk', 'Person with a disability'})"
0.008746355685131196,"frozenset({'Person', 'White Cane', 'Vegetation', 'Closed Sidewalk', 'Railing'})"
0.008746355685131196,"frozenset({'Person', 'Car', 'Sidewalk', 'Closed Sidewalk', 'Person with a disability'})"
0.008746355685131196,"frozenset({'Gate', 'Sign', 'Bicycle', 'Closed Sidewalk', 'Roadside Parking'})"
0.008746355685131196,"frozenset({'Slopped Curb', 'Person', 'Escalator', 'Person with a disability', 'Traffic Signals'})"
0.008746355685131196,"frozenset({'Slopped Curb', 'Water Pipes', 'Person', 'Escalator', 'Person with a disability'})"
0.008746355685131196,"frozenset({'Water Pipes', 'Person', 'Escalator', 'Person with a disability', 'Traffic Signals'})"
0.008746355685131196,"frozenset({'Gate', 'Wet surface', 'Bicycle', 'Closed Sidewalk', 'Roadside Parking'})"
0.008746355685131196,"frozenset({'Sign', 'Wet surface', 'Bus', 'Closed Sidewalk', 'Roadside Parking'})"
0.008746355685131196,"frozenset({'Gate', 'Sign', 'Wet surface', 'Bus', 'Closed Sidewalk'})"
0.008746355685131196,"frozenset({'Sloped Driveway', 'Slopped Curb', 'Tree', 'Car', 'Train Platform'})"
0.008746355685131196,"frozenset({'Gate', 'Wet surface', 'Bus', 'Closed Sidewalk', 'Roadside Parking'})"
0.008746355685131196,"frozenset({'Gate', 'Sign', 'Wet surface', 'Bus', 'Roadside Parking'})"
0.008746355685131196,"frozenset({'Slopped Curb', 'Water Pipes', 'Escalator', 'Person with a disability', 'Traffic Signals'})"
0.008746355685131196,"frozenset({'Slopped Curb', 'Water Pipes', 'Person', 'Escalator', 'Traffic Signals'})"
0.008746355685131196,"frozenset({'Barrier Post', 'Person', 'Car', 'Person with a disability', 'Pole'})"
0.008746355685131196,"frozenset({'Gate', 'Sign', 'Wet surface', 'Bicycle', 'Closed Sidewalk'})"
0.008746355685131196,"frozenset({'Slopped Curb', 'Tree', 'Person', 'Car', 'Train Platform'})"
