support,itemsets
0.2653061224489796,"frozenset({'Person with a disability', 'White Cane'})"
0.2565597667638484,"frozenset({'Person with a disability', 'Car'})"
0.1924198250728863,"frozenset({'Car', 'White Cane'})"
0.16909620991253643,"frozenset({'Person', 'White Cane'})"
0.16909620991253643,"frozenset({'Car', 'Person'})"
0.14868804664723032,"frozenset({'Person with a disability', 'Person'})"
0.12244897959183673,"frozenset({'Fence', 'Person with a disability'})"
0.119533527696793,"frozenset({'Building', 'Person with a disability'})"
0.11661807580174927,"frozenset({'Building', 'Person'})"
0.11661807580174927,"frozenset({'White Cane', 'Sidewalk'})"
0.10787172011661808,"frozenset({'Person with a disability', 'Sidewalk'})"
0.10495626822157435,"frozenset({'Person with a disability', 'Vegetation'})"
0.09912536443148688,"frozenset({'Fence', 'Car'})"
0.09912536443148688,"frozenset({'Road', 'Car'})"
0.09620991253644315,"frozenset({'Car', 'Vegetation'})"
0.09620991253644315,"frozenset({'Person with a disability', 'Pole'})"
0.09620991253644315,"frozenset({'Pole', 'White Cane'})"
0.09329446064139942,"frozenset({'Bicycle', 'Car'})"
0.09037900874635568,"frozenset({'Car', 'Sidewalk'})"
0.08746355685131195,"frozenset({'Road', 'Person'})"
0.08746355685131195,"frozenset({'Road', 'White Cane'})"
0.08746355685131195,"frozenset({'Building', 'Car'})"
0.08163265306122448,"frozenset({'Tree', 'Car'})"
0.08163265306122448,"frozenset({'Curb', 'Car'})"
0.08163265306122448,"frozenset({'Person with a disability', 'Stairs'})"
0.08163265306122448,"frozenset({'Fence', 'White Cane'})"
0.07871720116618076,"frozenset({'Building', 'White Cane'})"
0.07871720116618076,"frozenset({'Person', 'Vegetation'})"
0.07871720116618076,"frozenset({'Car', 'Stairs'})"
0.07580174927113703,"frozenset({'Car', 'Pole'})"
0.07580174927113703,"frozenset({'Bicycle', 'Person with a disability'})"
0.0728862973760933,"frozenset({'Tree', 'Person with a disability'})"
0.06997084548104957,"frozenset({'Road', 'Person with a disability'})"
0.06705539358600583,"frozenset({'Bicycle', 'White Cane'})"
0.06705539358600583,"frozenset({'Snow', 'Car'})"
0.06705539358600583,"frozenset({'White Cane', 'Railing'})"
0.06705539358600583,"frozenset({'Vegetation', 'White Cane'})"
0.0641399416909621,"frozenset({'White Cane', 'Stairs'})"
0.0641399416909621,"frozenset({'Person', 'Sidewalk'})"
0.061224489795918366,"frozenset({'Building', 'Vegetation'})"
0.061224489795918366,"frozenset({'Pole', 'Sidewalk'})"
0.05830903790087463,"frozenset({'Person with a disability', 'Railing'})"
0.05830903790087463,"frozenset({'Fence', 'Person'})"
0.05539358600583091,"frozenset({'Curb', 'White Cane'})"
0.05539358600583091,"frozenset({'White Cane', 'Closed Sidewalk'})"
0.05539358600583091,"frozenset({'Snow', 'Person'})"
0.05539358600583091,"frozenset({'Tree', 'Person'})"
0.05539358600583091,"frozenset({'Curb', 'Person with a disability'})"
0.052478134110787174,"frozenset({'Person with a disability', 'Bench'})"
0.052478134110787174,"frozenset({'Curb', 'Person'})"
0.052478134110787174,"frozenset({'Person', 'Pole'})"
0.052478134110787174,"frozenset({'Trash bins', 'Car'})"
0.04956268221574344,"frozenset({'Trash bins', 'White Cane'})"
0.04956268221574344,"frozenset({'Snow', 'White Cane'})"
0.04956268221574344,"frozenset({'Person', 'Railing'})"
0.04956268221574344,"frozenset({'Trash bins', 'Person with a disability'})"
0.04956268221574344,"frozenset({'Snow', 'Person with a disability'})"
0.04956268221574344,"frozenset({'Slopped Curb', 'Person with a disability'})"
0.04956268221574344,"frozenset({'Motorcycle', 'Car'})"
0.04956268221574344,"frozenset({'Person with a disability', 'Pillar'})"
0.04956268221574344,"frozenset({'Sign', 'Car'})"
0.04664723032069971,"frozenset({'Slopped Curb', 'White Cane'})"
0.04664723032069971,"frozenset({'Person', 'Closed Sidewalk'})"
0.04664723032069971,"frozenset({'Bus', 'Person'})"
0.04664723032069971,"frozenset({'Wall', 'Car'})"
0.04664723032069971,"frozenset({'Slopped Curb', 'Car'})"
0.043731778425655975,"frozenset({'Bus', 'White Cane'})"
0.043731778425655975,"frozenset({'Vegetation', 'Sidewalk'})"
0.043731778425655975,"frozenset({'Roadside Parking', 'White Cane'})"
0.043731778425655975,"frozenset({'Car', 'Bench'})"
0.043731778425655975,"frozenset({'Car', 'Traffic Signals'})"
0.043731778425655975,"frozenset({'Slopped Curb', 'Person'})"
0.043731778425655975,"frozenset({'Trash bins', 'Person'})"
0.04081632653061224,"frozenset({'Sign', 'White Cane'})"
0.04081632653061224,"frozenset({'Building', 'Sidewalk'})"
0.04081632653061224,"frozenset({'Road', 'Vegetation'})"
0.04081632653061224,"frozenset({'Sign', 'Person with a disability'})"
0.04081632653061224,"frozenset({'Bicycle', 'Person'})"
0.04081632653061224,"frozenset({'Person', 'Bench'})"
0.037900874635568516,"frozenset({'Sign', 'Person'})"
0.037900874635568516,"frozenset({'Motorcycle', 'Person with a disability'})"
0.037900874635568516,"frozenset({'Railing', 'Stairs'})"
0.037900874635568516,"frozenset({'Barrier Post', 'White Cane'})"
0.037900874635568516,"frozenset({'Car', 'Railing'})"
0.037900874635568516,"frozenset({'Pedestrian Crossing', 'Car'})"
0.037900874635568516,"frozenset({'Gate', 'Person'})"
0.037900874635568516,"frozenset({'Tree', 'White Cane'})"
0.037900874635568516,"frozenset({'Road', 'Sidewalk'})"
0.03498542274052478,"frozenset({'White Cane', 'Bench'})"
0.03498542274052478,"frozenset({'Pedestrian Crossing', 'Person with a disability'})"
0.03498542274052478,"frozenset({'Gate', 'White Cane'})"
0.03498542274052478,"frozenset({'Barrier Post', 'Car'})"
0.03498542274052478,"frozenset({'Bus', 'Person with a disability'})"
0.03498542274052478,"frozenset({'Tactile Paving', 'White Cane'})"
0.03498542274052478,"frozenset({'Barrier Post', 'Person with a disability'})"
0.03498542274052478,"frozenset({'Road Divider', 'Car'})"
0.03498542274052478,"frozenset({'Accent Paving', 'Car'})"
0.03498542274052478,"frozenset({'White Cane', 'Bus Stop'})"
0.03498542274052478,"frozenset({'Accent Paving', 'White Cane'})"
0.03206997084548105,"frozenset({'Stairs', 'Pillar'})"
0.03206997084548105,"frozenset({'Snow', 'Pole'})"
0.03206997084548105,"frozenset({'Bicycle', 'Building'})"
0.03206997084548105,"frozenset({'Vegetation', 'Pole'})"
0.03206997084548105,"frozenset({'Tactile Paving', 'Person with a disability'})"
0.03206997084548105,"frozenset({'Person with a disability', 'Closed Sidewalk'})"
0.03206997084548105,"frozenset({'Bicycle', 'Tree'})"
0.03206997084548105,"frozenset({'Bus', 'Car'})"
0.03206997084548105,"frozenset({'Accent Paving', 'Person'})"
0.03206997084548105,"frozenset({'Bridge', 'Person with a disability'})"
0.03206997084548105,"frozenset({'Building', 'Railing'})"
0.03206997084548105,"frozenset({'Vegetation', 'Stairs'})"
0.03206997084548105,"frozenset({'Road', 'Building'})"
0.03206997084548105,"frozenset({'Car', 'Closed Sidewalk'})"
0.03206997084548105,"frozenset({'Tree', 'Fence'})"
0.03206997084548105,"frozenset({'Fence', 'Sidewalk'})"
0.03206997084548105,"frozenset({'Fence', 'Curb'})"
0.03206997084548105,"frozenset({'Fence', 'Vegetation'})"
0.029154518950437316,"frozenset({'Bridge', 'Car'})"
0.029154518950437316,"frozenset({'Bicycle', 'Pole'})"
0.029154518950437316,"frozenset({'White Cane', 'Traffic Signals'})"
0.029154518950437316,"frozenset({'Trash bins', 'Tree'})"
0.029154518950437316,"frozenset({'Gate', 'Closed Sidewalk'})"
0.029154518950437316,"frozenset({'Bridge', 'White Cane'})"
0.029154518950437316,"frozenset({'Tree', 'Vegetation'})"
0.029154518950437316,"frozenset({'Fence', 'Bench'})"
0.029154518950437316,"frozenset({'Car', 'Puddle'})"
0.029154518950437316,"frozenset({'Gate', 'Person with a disability'})"
0.029154518950437316,"frozenset({'Road Shoulder', 'White Cane'})"
0.029154518950437316,"frozenset({'Person', 'Stairs'})"
0.029154518950437316,"frozenset({'Slopped Curb', 'Sidewalk'})"
0.029154518950437316,"frozenset({'Trash bins', 'Building'})"
0.029154518950437316,"frozenset({'Road Shoulder', 'Car'})"
0.029154518950437316,"frozenset({'Trash bins', 'Bus'})"
0.029154518950437316,"frozenset({'Tree', 'Pole'})"
0.029154518950437316,"frozenset({'Person with a disability', 'Traffic Signals'})"
0.029154518950437316,"frozenset({'Building', 'Pole'})"
0.029154518950437316,"frozenset({'Wall', 'Person with a disability'})"
0.029154518950437316,"frozenset({'Pedestrian Crossing', 'Building'})"
0.029154518950437316,"frozenset({'Trash on roads', 'Car'})"
0.029154518950437316,"frozenset({'Barrier Post', 'Person'})"
0.029154518950437316,"frozenset({'Snow', 'Tree'})"
0.029154518950437316,"frozenset({'Fence', 'Pole'})"
0.029154518950437316,"frozenset({'Person with a disability', 'Puddle'})"
0.029154518950437316,"frozenset({'Road', 'Fence'})"
0.029154518950437316,"frozenset({'Building', 'Stairs'})"
0.026239067055393587,"frozenset({'Bus', 'Bench'})"
0.026239067055393587,"frozenset({'Accent Paving', 'Person with a disability'})"
0.026239067055393587,"frozenset({'Fence', 'Building'})"
0.026239067055393587,"frozenset({'Water Pipes', 'Person'})"
0.026239067055393587,"frozenset({'Tactile Paving', 'Vegetation'})"
0.026239067055393587,"frozenset({'Accent Paving', 'Pole'})"
0.026239067055393587,"frozenset({'White Cane', 'Lamp Post'})"
0.026239067055393587,"frozenset({'Building', 'Closed Sidewalk'})"
0.026239067055393587,"frozenset({'Person', 'Turnstile'})"
0.026239067055393587,"frozenset({'Crosswalk', 'Person'})"
0.026239067055393587,"frozenset({'Sidewalk', 'Stairs'})"
0.026239067055393587,"frozenset({'White Cane', 'Uneven Stairs'})"
0.026239067055393587,"frozenset({'Tactile Paving', 'Person'})"
0.026239067055393587,"frozenset({'Building', 'Bench'})"
0.026239067055393587,"frozenset({'Bridge', 'Person'})"
0.026239067055393587,"frozenset({'Parallel Parking Spot', 'Person with a disability'})"
0.026239067055393587,"frozenset({'White Cane', 'Pillar'})"
0.026239067055393587,"frozenset({'Gate', 'Car'})"
0.026239067055393587,"frozenset({'Railing', 'Closed Sidewalk'})"
0.026239067055393587,"frozenset({'Motorcycle', 'Bicycle'})"
0.026239067055393587,"frozenset({'White Cane', 'Retaining Wall'})"
0.026239067055393587,"frozenset({'Pedestrian Crossing', 'White Cane'})"
0.026239067055393587,"frozenset({'Car', 'Retaining Wall'})"
0.026239067055393587,"frozenset({'Trash bins', 'Bicycle'})"
0.026239067055393587,"frozenset({'Bicycle', 'Vegetation'})"
0.026239067055393587,"frozenset({'Bus', 'Bus Stop'})"
0.026239067055393587,"frozenset({'Road Shoulder', 'Person'})"
