support,itemsets
0.5364431486880467,frozenset({'Person with a disability'})
0.4868804664723032,frozenset({'White Cane'})
0.48104956268221577,frozenset({'Car'})
0.3673469387755102,frozenset({'Person'})
0.22448979591836735,frozenset({'Building'})
0.20116618075801748,frozenset({'Sidewalk'})
0.19825072886297376,frozenset({'Vegetation'})
0.18950437317784258,frozenset({'Road'})
0.18658892128279883,frozenset({'Pole'})
0.18075801749271136,frozenset({'Fence'})
0.15160349854227406,frozenset({'Curb'})
0.14285714285714285,frozenset({'Bicycle'})
0.13994169096209913,frozenset({'Stairs'})
0.13994169096209913,frozenset({'Tree'})
0.119533527696793,frozenset({'Railing'})
0.11370262390670553,frozenset({'Trash bins'})
0.10495626822157435,frozenset({'Bus'})
0.09912536443148688,frozenset({'Bench'})
0.09620991253644315,frozenset({'Snow'})
0.09037900874635568,frozenset({'Slopped Curb'})
0.09037900874635568,frozenset({'Closed Sidewalk'})
0.09037900874635568,frozenset({'Barrier Post'})
0.08746355685131195,frozenset({'Sign'})
0.07871720116618076,frozenset({'Accent Paving'})
0.0728862973760933,frozenset({'Traffic Signals'})
0.0728862973760933,frozenset({'Pillar'})
0.0728862973760933,frozenset({'Motorcycle'})
0.0728862973760933,frozenset({'Gate'})
0.06997084548104957,frozenset({'Roadside Parking'})
0.06705539358600583,frozenset({'Tactile Paving'})
0.06705539358600583,frozenset({'Pedestrian Crossing'})
0.0641399416909621,frozenset({'Wall'})
0.061224489795918366,frozenset({'Bridge'})
0.05830903790087463,frozenset({'Road Shoulder'})
0.05830903790087463,frozenset({'Lamp Post'})
0.05539358600583091,frozenset({'Road Divider'})
0.052478134110787174,frozenset({'Crosswalk'})
0.052478134110787174,frozenset({'Bus Stop'})
0.04664723032069971,frozenset({'Puddle'})
0.04664723032069971,frozenset({'Push button'})
0.04664723032069971,frozenset({'Gutter'})
0.04081632653061224,frozenset({'Trash on roads'})
0.04081632653061224,frozenset({'Wet surface'})
0.037900874635568516,frozenset({'Uneven Stairs'})
0.037900874635568516,frozenset({'Parallel Parking Spot'})
0.037900874635568516,frozenset({'Escalator'})
0.037900874635568516,frozenset({'Mail box'})
0.037900874635568516,frozenset({'Sloped Driveway'})
0.037900874635568516,frozenset({'Water Pipes'})
0.037900874635568516,frozenset({'Barrier Stump'})
0.037900874635568516,frozenset({'Turnstile'})
0.03498542274052478,frozenset({'Wheelchair'})
0.03498542274052478,frozenset({'Retaining Wall'})
0.03206997084548105,frozenset({'Foldout Sign'})
0.03206997084548105,frozenset({'Counter'})
0.03206997084548105,frozenset({'Elevator'})
0.029154518950437316,frozenset({'Maintenance Vehicle'})
0.029154518950437316,frozenset({'Sign Post'})
0.026239067055393587,frozenset({'Table'})
0.026239067055393587,frozenset({'Driveway(flat)'})
0.026239067055393587,frozenset({'Chair'})
0.02040816326530612,frozenset({'Train Platform'})
0.02040816326530612,frozenset({'Street Vendor'})
0.02040816326530612,frozenset({'Uncontrolled Crossing'})
0.02040816326530612,frozenset({'Fire hydrant'})
0.02040816326530612,frozenset({'Flush Door'})
0.02040816326530612,frozenset({'Stop sign'})
0.02040816326530612,frozenset({'Yard Waste'})
0.02040816326530612,frozenset({'Fountain'})
0.01749271137026239,frozenset({'Dog'})
0.01749271137026239,frozenset({'Paratransit vehicle'})
0.014577259475218658,frozenset({'Unpaved Road'})
0.014577259475218658,frozenset({'Raised Entryway'})
0.014577259475218658,frozenset({'Water leakage'})
0.014577259475218658,frozenset({'Unpaved Sidewalk'})
0.014577259475218658,frozenset({'Hose'})
0.011661807580174927,frozenset({'Train Tracks'})
