support,itemsets
0.09329446064139942,"frozenset({'Person with a disability', 'Car', 'White Cane'})"
0.08163265306122448,"frozenset({'Person with a disability', 'Person', 'White Cane'})"
0.08163265306122448,"frozenset({'Person with a disability', 'Car', 'Person'})"
0.0728862973760933,"frozenset({'Car', 'White Cane', 'Person'})"
0.06997084548104957,"frozenset({'Person with a disability', 'Fence', 'Car'})"
0.0641399416909621,"frozenset({'Person with a disability', 'White Cane', 'Sidewalk'})"
0.05539358600583091,"frozenset({'Fence', 'Person with a disability', 'White Cane'})"
0.04956268221574344,"frozenset({'Person with a disability', 'Bicycle', 'Car'})"
0.04956268221574344,"frozenset({'Person with a disability', 'Building', 'Person'})"
0.04956268221574344,"frozenset({'Person with a disability', 'Car', 'Sidewalk'})"
0.04664723032069971,"frozenset({'Person with a disability', 'Car', 'Vegetation'})"
0.04664723032069971,"frozenset({'Pole', 'Person with a disability', 'White Cane'})"
0.043731778425655975,"frozenset({'Person with a disability', 'Building', 'Car'})"
0.043731778425655975,"frozenset({'Building', 'Person with a disability', 'White Cane'})"
0.043731778425655975,"frozenset({'Car', 'White Cane', 'Sidewalk'})"
0.043731778425655975,"frozenset({'Person with a disability', 'White Cane', 'Stairs'})"
0.043731778425655975,"frozenset({'Bicycle', 'Person with a disability', 'White Cane'})"
0.043731778425655975,"frozenset({'Fence', 'Car', 'White Cane'})"
0.04081632653061224,"frozenset({'Road', 'Person', 'White Cane'})"
0.04081632653061224,"frozenset({'Building', 'Person', 'White Cane'})"
0.04081632653061224,"frozenset({'Snow', 'Car', 'Person'})"
0.04081632653061224,"frozenset({'Person with a disability', 'Car', 'Stairs'})"
0.04081632653061224,"frozenset({'Person with a disability', 'Car', 'Pole'})"
0.04081632653061224,"frozenset({'Person with a disability', 'Car', 'Snow'})"
0.037900874635568516,"frozenset({'Person with a disability', 'Road', 'Car'})"
0.037900874635568516,"frozenset({'Building', 'Car', 'Person'})"
0.037900874635568516,"frozenset({'Bicycle', 'Car', 'White Cane'})"
0.037900874635568516,"frozenset({'Pole', 'White Cane', 'Sidewalk'})"
