Video,Model,F1,"d(GT, O)","d(GT, f(O))","d(O, f(O))"
video-1-segment-4,Random,0.3205,0.5096,0.476,0.0913
video-1-segment-4,RAM,0.5714,0.1875,0.1875,0.0
video-1-segment-4,faster_rcnn,0.6829,0.1875,0.1298,0.125
video-1-segment-4,mask_rcnn,0.7059,0.1683,0.1154,0.0721
video-1-segment-4,yolo_v7,0.7255,0.1346,0.1827,0.0481
video-1-segment-4,DM-2,0.7356,0.2212,0.2356,0.101
video-1-segment-4,BLIP,0.7368,0.1442,0.0817,0.0913
video-1-segment-4,DM-3,0.7368,0.2163,0.1923,0.3221
video-1-segment-4,DM-1,0.7386,0.2212,0.1875,0.2548
video-1-segment-4,HRNet_V2,0.8609,0.101,0.0337,0.0865
video-1-segment-4,GPV-1,0.9062,0.0577,0.0,0.0577
video-1-segment-4,GPT4V,0.9167,0.0481,0.0,0.0481
video-1-segment-4,LLaVa,0.9606,0.024,0.0,0.024
video-1-segment-4,GT_N,1.0,0.0,0.0,0.0
video-1-segment-5,Random,0.2927,0.5179,0.5179,0.0
video-1-segment-5,HRNet_V2,0.525,0.3393,0.4196,0.2768
video-1-segment-5,mask_rcnn,0.5797,0.2589,0.2589,0.25
video-1-segment-5,faster_rcnn,0.6562,0.1964,0.2143,0.25
video-1-segment-5,GPV-1,0.6667,0.1339,0.0804,0.0893
video-1-segment-5,yolo_v7,0.8696,0.0536,0.0446,0.0446
video-1-segment-5,GPT4V,0.875,0.0536,0.0357,0.0357
video-1-segment-5,LLaVa,0.8936,0.0446,0.0446,0.0
video-1-segment-5,DM-3,0.9268,0.0268,0.0,0.0268
video-1-segment-5,DM-2,0.9302,0.0268,0.0089,0.0179
video-1-segment-5,BLIP,0.9333,0.0268,0.0268,0.0
video-1-segment-5,DM-1,0.9333,0.0268,0.0179,0.0089
video-1-segment-5,RAM,0.9767,0.0089,0.0,0.0089
video-1-segment-5,GT_N,1.0,0.0,0.0,0.0
video-2-segment-1,Random,0.3914,0.5182,0.4297,0.3125
video-2-segment-1,RAM,0.56,0.2005,0.2031,0.0026
video-2-segment-1,HRNet_V2,0.6725,0.2917,0.3307,0.2682
video-2-segment-1,yolo_v7,0.7333,0.1458,0.2031,0.0573
video-2-segment-1,faster_rcnn,0.7368,0.1953,0.1823,0.1484
video-2-segment-1,mask_rcnn,0.741,0.1875,0.1589,0.2214
video-2-segment-1,DM-1,0.7456,0.224,0.2578,0.2161
video-2-segment-1,BLIP,0.7462,0.1719,0.1172,0.2214
video-2-segment-1,DM-2,0.7463,0.2214,0.2083,0.2526
video-2-segment-1,DM-3,0.747,0.2188,0.1901,0.2682
video-2-segment-1,GPV-1,0.7899,0.1302,0.0677,0.125
video-2-segment-1,LLaVa,0.8073,0.138,0.0495,0.1458
video-2-segment-1,GPT4V,0.8608,0.0859,0.0312,0.0755
video-2-segment-1,GT_N,1.0,0.0,0.0,0.0
video-3-segment-2,Random,0.3544,0.5312,0.5312,0.0
video-3-segment-2,HRNet_V2,0.6944,0.2292,0.1458,0.1875
video-3-segment-2,mask_rcnn,0.7541,0.1562,0.0729,0.1875
video-3-segment-2,BLIP,0.8136,0.1146,0.0104,0.1042
video-3-segment-2,DM-2,0.8136,0.1146,0.0208,0.0938
video-3-segment-2,DM-3,0.8148,0.1042,0.0208,0.0833
video-3-segment-2,DM-1,0.8197,0.1146,0.1146,0.1667
video-3-segment-2,faster_rcnn,0.8421,0.0938,0.0208,0.0729
video-3-segment-2,GPV-1,0.8889,0.0625,0.0208,0.0625
video-3-segment-2,RAM,0.913,0.0417,0.0104,0.0312
video-3-segment-2,LLaVa,0.96,0.0208,0.0104,0.0104
video-3-segment-2,GPT4V,0.9796,0.0104,0.0104,0.0
video-3-segment-2,yolo_v7,0.9796,0.0104,0.0104,0.0
video-3-segment-2,GT_N,1.0,0.0,0.0,0.0
video-3-segment-3,Random,0.2824,0.5558,0.5312,0.4531
video-3-segment-3,mask_rcnn,0.6777,0.2165,0.1518,0.2656
video-3-segment-3,faster_rcnn,0.7108,0.1853,0.0759,0.154
video-3-segment-3,HRNet_V2,0.7516,0.1696,0.0647,0.1585
video-3-segment-3,GPV-1,0.7722,0.1317,0.1094,0.1518
video-3-segment-3,RAM,0.8325,0.0781,0.067,0.0513
video-3-segment-3,yolo_v7,0.8598,0.067,0.0647,0.0379
video-3-segment-3,DM-2,0.8768,0.0759,0.0112,0.0826
video-3-segment-3,DM-1,0.8777,0.0759,0.0067,0.0692
video-3-segment-3,BLIP,0.878,0.067,0.0223,0.0625
video-3-segment-3,DM-3,0.8791,0.0737,0.0022,0.0714
video-3-segment-3,LLaVa,0.9237,0.0446,0.0,0.0446
video-3-segment-3,GPT4V,0.9714,0.0156,0.0022,0.0134
video-3-segment-3,GT_N,1.0,0.0,0.0,0.0
video-4-segment-1,Random,0.4,0.5089,0.5,0.1696
video-4-segment-1,RAM,0.6,0.1786,0.2679,0.125
video-4-segment-1,GPV-1,0.6849,0.2054,0.2054,0.0
video-4-segment-1,HRNet_V2,0.7083,0.25,0.25,0.1786
video-4-segment-1,mask_rcnn,0.7105,0.1964,0.1964,0.0536
video-4-segment-1,faster_rcnn,0.7467,0.1696,0.1607,0.1161
video-4-segment-1,yolo_v7,0.8525,0.0804,0.1161,0.0536
video-4-segment-1,GPT4V,0.8615,0.0804,0.0625,0.0357
video-4-segment-1,LLaVa,0.8684,0.0893,0.1071,0.0357
video-4-segment-1,BLIP,0.8919,0.0714,0.0357,0.0714
video-4-segment-1,DM-3,0.8919,0.0714,0.0625,0.0089
video-4-segment-1,DM-2,0.8947,0.0714,0.0625,0.0089
video-4-segment-1,DM-1,0.8974,0.0714,0.0446,0.0625
video-4-segment-1,GT_N,1.0,0.0,0.0,0.0
video-4-segment-3,Random,0.272,0.517,0.5114,0.0739
video-4-segment-3,RAM,0.6349,0.1307,0.1193,0.0114
video-4-segment-3,yolo_v7,0.697,0.1136,0.1193,0.017
video-4-segment-3,DM-2,0.7119,0.1932,0.1534,0.1534
video-4-segment-3,DM-3,0.713,0.1875,0.1932,0.267
video-4-segment-3,BLIP,0.7143,0.1818,0.1364,0.1591
video-4-segment-3,DM-1,0.7167,0.1932,0.1818,0.2159
video-4-segment-3,HRNet_V2,0.7593,0.1477,0.1364,0.0795
video-4-segment-3,GPT4V,0.8101,0.0852,0.0114,0.0739
video-4-segment-3,mask_rcnn,0.8172,0.0966,0.0341,0.108
video-4-segment-3,GPV-1,0.8276,0.0852,0.0739,0.0455
video-4-segment-3,faster_rcnn,0.8315,0.0852,0.017,0.0909
video-4-segment-3,LLaVa,0.9053,0.0511,0.017,0.0568
video-4-segment-3,GT_N,1.0,0.0,0.0,0.0
